Date,Open,High,Low,Close,Volume,Adj Close
2013-09-25,10400.00,10550.00,10250.00,10450.00,111500,10450.00
2013-09-24,10600.00,10750.00,10400.00,10450.00,233800,10450.00
2013-09-23,10650.00,10850.00,10450.00,10750.00,174100,10750.00
2013-09-20,10650.00,10650.00,10650.00,10650.00,000,10650.00
2013-09-17,10650.00,10750.00,10450.00,10650.00,153400,10650.00
2013-09-16,11050.00,11150.00,10500.00,10700.00,209400,10700.00
2013-09-13,11050.00,11150.00,10900.00,11000.00,99400,11000.00
2013-09-12,11400.00,11400.00,11100.00,11150.00,112800,11150.00
2013-09-11,11350.00,11450.00,11100.00,11450.00,154900,11450.00
2013-09-10,11050.00,11350.00,10900.00,11200.00,235600,11200.00
2013-09-09,11250.00,11400.00,10900.00,10950.00,255300,10950.00
2013-09-06,11550.00,11600.00,11100.00,11300.00,168900,11300.00
2013-09-05,11600.00,11850.00,11450.00,11500.00,184800,11500.00
2013-09-04,11750.00,11850.00,11350.00,11450.00,139800,11450.00
2013-09-03,11800.00,12050.00,11700.00,11700.00,166400,11700.00
2013-09-02,12050.00,12100.00,11550.00,11950.00,153200,11950.00
2013-08-30,11300.00,12000.00,11300.00,11900.00,311300,11900.00
2013-08-29,11100.00,11550.00,11000.00,11550.00,397400,11550.00
2013-08-28,10800.00,10900.00,10200.00,10850.00,608500,10850.00
2013-08-27,11250.00,11450.00,10900.00,11050.00,191600,11050.00
2013-08-26,11450.00,11500.00,11100.00,11200.00,147200,11200.00
2013-08-23,11200.00,11350.00,11050.00,11350.00,104700,11350.00
2013-08-22,11000.00,11200.00,10900.00,11050.00,164300,11050.00
2013-08-21,11750.00,11750.00,11100.00,11250.00,159100,11250.00
2013-08-20,12100.00,12150.00,11400.00,11700.00,270900,11700.00
2013-08-19,12300.00,12350.00,12050.00,12050.00,111000,12050.00
2013-08-16,12200.00,12350.00,12050.00,12300.00,104300,12300.00
2013-08-15,12400.00,12400.00,12400.00,12400.00,000,12400.00
2013-08-14,12600.00,12700.00,12150.00,12400.00,205400,12400.00
2013-08-13,12700.00,12900.00,12550.00,12650.00,145000,12650.00
2013-08-12,12850.00,13100.00,12800.00,12850.00,224300,12850.00
2013-08-09,12550.00,12800.00,12350.00,12750.00,105100,12750.00
2013-08-08,12600.00,12650.00,12400.00,12600.00,104000,12600.00
2013-08-07,12300.00,12650.00,12200.00,12600.00,199800,12600.00
2013-08-06,12450.00,12550.00,12350.00,12400.00,176000,12400.00
2013-08-05,12300.00,12300.00,11850.00,12250.00,169900,12250.00
2013-08-02,12600.00,12750.00,12000.00,12200.00,194700,12200.00
2013-08-01,12650.00,12750.00,12450.00,12600.00,94400,12600.00
2013-07-31,12750.00,12900.00,12550.00,12650.00,99000,12650.00
2013-07-30,12650.00,13000.00,12650.00,12750.00,266500,12750.00
2013-07-29,12300.00,12700.00,12250.00,12650.00,180800,12650.00
2013-07-26,12400.00,12500.00,12050.00,12300.00,157200,12300.00
2013-07-25,12650.00,12850.00,12350.00,12350.00,118400,12350.00
2013-07-24,12600.00,12700.00,12400.00,12600.00,90800,12600.00
2013-07-23,12400.00,12750.00,12350.00,12500.00,232400,12500.00
2013-07-22,12550.00,12700.00,12300.00,12300.00,206300,12300.00
2013-07-19,12500.00,12550.00,12250.00,12400.00,190800,12400.00
2013-07-18,11950.00,12550.00,11950.00,12450.00,369300,12450.00
2013-07-17,11550.00,12000.00,11550.00,11950.00,178400,11950.00
2013-07-16,11500.00,11750.00,11450.00,11600.00,97700,11600.00
2013-07-15,11800.00,11850.00,11450.00,11450.00,199700,11450.00
2013-07-12,11900.00,11950.00,11650.00,11850.00,112900,11850.00
2013-07-11,12000.00,12050.00,11750.00,11850.00,279200,11850.00
2013-07-10,11650.00,12000.00,11400.00,11900.00,293000,11900.00
2013-07-09,11700.00,11900.00,11550.00,11650.00,200300,11650.00
2013-07-08,11150.00,11700.00,11100.00,11700.00,251400,11700.00
2013-07-05,11050.00,11300.00,11050.00,11200.00,108200,11200.00
2013-07-04,11050.00,11250.00,10850.00,11100.00,116400,11100.00
2013-07-03,11200.00,11300.00,11000.00,11000.00,107500,11000.00
2013-07-02,11400.00,11400.00,11150.00,11250.00,134900,11250.00
2013-07-01,11300.00,11550.00,11200.00,11400.00,114700,11400.00
2013-06-28,10900.00,11350.00,10900.00,11300.00,200800,11300.00
2013-06-27,10700.00,11100.00,10550.00,10900.00,328000,10900.00
2013-06-26,11150.00,11150.00,10200.00,10500.00,301600,10500.00
2013-06-25,11700.00,11700.00,10150.00,10550.00,422100,10550.00
2013-06-24,11900.00,12000.00,11700.00,11700.00,175800,11700.00
2013-06-21,11550.00,11900.00,11400.00,11750.00,231900,11750.00
2013-06-20,12000.00,12100.00,11650.00,11800.00,2422400,11800.00
2013-06-19,12050.00,12450.00,11850.00,12350.00,192300,12350.00
2013-06-18,11650.00,12300.00,11550.00,12050.00,186100,12050.00
2013-06-17,11650.00,11900.00,11300.00,11700.00,87800,11700.00
2013-06-14,11850.00,11950.00,11500.00,11550.00,97000,11550.00
2013-06-13,11700.00,11950.00,11350.00,11800.00,135700,11800.00
2013-06-12,11300.00,11900.00,11050.00,11800.00,138700,11800.00
2013-06-11,11500.00,11750.00,11150.00,11300.00,230100,11300.00
2013-06-10,11300.00,11800.00,11100.00,11400.00,144900,11400.00
2013-06-07,11950.00,12150.00,11150.00,11350.00,191100,11350.00
2013-06-06,11800.00,11800.00,11800.00,11800.00,000,11800.00
2013-06-05,12250.00,12250.00,11800.00,11800.00,231700,11800.00
2013-06-04,12750.00,12800.00,12100.00,12200.00,288700,12200.00
2013-06-03,12600.00,12900.00,12300.00,12800.00,281500,12800.00
2013-05-31,12650.00,12700.00,12050.00,12450.00,407300,12450.00
2013-05-30,13100.00,13400.00,12550.00,12550.00,237400,12550.00
2013-05-29,13300.00,13400.00,13100.00,13200.00,172000,13200.00
2013-05-28,13050.00,13450.00,12900.00,13400.00,222700,13400.00
2013-05-27,13100.00,13550.00,12900.00,13050.00,280100,13050.00
2013-05-24,12900.00,13050.00,12650.00,12900.00,118800,12900.00
2013-05-23,12800.00,13150.00,12650.00,12850.00,196100,12850.00
2013-05-22,12900.00,13350.00,12800.00,12800.00,203000,12800.00
2013-05-21,13150.00,13300.00,12850.00,13000.00,126900,13000.00
2013-05-20,13100.00,13550.00,12800.00,12900.00,454600,12900.00
2013-05-17,12800.00,12800.00,12800.00,12800.00,000,12800.00
2013-05-16,12800.00,13000.00,12550.00,12800.00,250900,12800.00
2013-05-15,13400.00,13550.00,12550.00,12700.00,395400,12700.00
2013-05-14,14000.00,14150.00,12500.00,13400.00,491500,13400.00
